model_id,param,value
RF-1,max_depth,2.0
RF-1,min_samples_split,2.0
RF-1,n_estimators,10.0
RF-2,max_depth,2.0
RF-2,min_samples_split,2.0
RF-2,n_estimators,25.0
RF-3,max_depth,2.0
RF-3,min_samples_split,2.0
RF-3,n_estimators,50.0
RF-4,max_depth,2.0
RF-4,min_samples_split,2.0
RF-4,n_estimators,75.0
RF-5,max_depth,2.0
RF-5,min_samples_split,2.0
RF-5,n_estimators,100.0
RF-6,max_depth,2.0
RF-6,min_samples_split,2.0
RF-6,n_estimators,125.0
RF-7,max_depth,2.0
RF-7,min_samples_split,2.0
RF-7,n_estimators,150.0
RF-8,max_depth,2.0
RF-8,min_samples_split,2.0
RF-8,n_estimators,200.0
RF-9,max_depth,2.0
RF-9,min_samples_split,2.0
RF-9,n_estimators,250.0
RF-10,max_depth,2.0
RF-10,min_samples_split,4.0
RF-10,n_estimators,10.0
RF-11,max_depth,2.0
RF-11,min_samples_split,4.0
RF-11,n_estimators,25.0
RF-12,max_depth,2.0
RF-12,min_samples_split,4.0
RF-12,n_estimators,50.0
RF-13,max_depth,2.0
RF-13,min_samples_split,4.0
RF-13,n_estimators,75.0
RF-14,max_depth,2.0
RF-14,min_samples_split,4.0
RF-14,n_estimators,100.0
RF-15,max_depth,2.0
RF-15,min_samples_split,4.0
RF-15,n_estimators,125.0
RF-16,max_depth,2.0
RF-16,min_samples_split,4.0
RF-16,n_estimators,150.0
RF-17,max_depth,2.0
RF-17,min_samples_split,4.0
RF-17,n_estimators,200.0
RF-18,max_depth,2.0
RF-18,min_samples_split,4.0
RF-18,n_estimators,250.0
RF-19,max_depth,2.0
RF-19,min_samples_split,8.0
RF-19,n_estimators,10.0
RF-20,max_depth,2.0
RF-20,min_samples_split,8.0
RF-20,n_estimators,25.0
RF-21,max_depth,2.0
RF-21,min_samples_split,8.0
RF-21,n_estimators,50.0
RF-22,max_depth,2.0
RF-22,min_samples_split,8.0
RF-22,n_estimators,75.0
RF-23,max_depth,2.0
RF-23,min_samples_split,8.0
RF-23,n_estimators,100.0
RF-24,max_depth,2.0
RF-24,min_samples_split,8.0
RF-24,n_estimators,125.0
RF-25,max_depth,2.0
RF-25,min_samples_split,8.0
RF-25,n_estimators,150.0
RF-26,max_depth,2.0
RF-26,min_samples_split,8.0
RF-26,n_estimators,200.0
RF-27,max_depth,2.0
RF-27,min_samples_split,8.0
RF-27,n_estimators,250.0
RF-28,max_depth,2.0
RF-28,min_samples_split,12.0
RF-28,n_estimators,10.0
RF-29,max_depth,2.0
RF-29,min_samples_split,12.0
RF-29,n_estimators,25.0
RF-30,max_depth,2.0
RF-30,min_samples_split,12.0
RF-30,n_estimators,50.0
RF-31,max_depth,2.0
RF-31,min_samples_split,12.0
RF-31,n_estimators,75.0
RF-32,max_depth,2.0
RF-32,min_samples_split,12.0
RF-32,n_estimators,100.0
RF-33,max_depth,2.0
RF-33,min_samples_split,12.0
RF-33,n_estimators,125.0
RF-34,max_depth,2.0
RF-34,min_samples_split,12.0
RF-34,n_estimators,150.0
RF-35,max_depth,2.0
RF-35,min_samples_split,12.0
RF-35,n_estimators,200.0
RF-36,max_depth,2.0
RF-36,min_samples_split,12.0
RF-36,n_estimators,250.0
RF-37,max_depth,2.0
RF-37,min_samples_split,16.0
RF-37,n_estimators,10.0
RF-38,max_depth,2.0
RF-38,min_samples_split,16.0
RF-38,n_estimators,25.0
RF-39,max_depth,2.0
RF-39,min_samples_split,16.0
RF-39,n_estimators,50.0
RF-40,max_depth,2.0
RF-40,min_samples_split,16.0
RF-40,n_estimators,75.0
RF-41,max_depth,2.0
RF-41,min_samples_split,16.0
RF-41,n_estimators,100.0
RF-42,max_depth,2.0
RF-42,min_samples_split,16.0
RF-42,n_estimators,125.0
RF-43,max_depth,2.0
RF-43,min_samples_split,16.0
RF-43,n_estimators,150.0
RF-44,max_depth,2.0
RF-44,min_samples_split,16.0
RF-44,n_estimators,200.0
RF-45,max_depth,2.0
RF-45,min_samples_split,16.0
RF-45,n_estimators,250.0
RF-46,max_depth,2.0
RF-46,min_samples_split,30.0
RF-46,n_estimators,10.0
RF-47,max_depth,2.0
RF-47,min_samples_split,30.0
RF-47,n_estimators,25.0
RF-48,max_depth,2.0
RF-48,min_samples_split,30.0
RF-48,n_estimators,50.0
RF-49,max_depth,2.0
RF-49,min_samples_split,30.0
RF-49,n_estimators,75.0
RF-50,max_depth,2.0
RF-50,min_samples_split,30.0
RF-50,n_estimators,100.0
RF-51,max_depth,2.0
RF-51,min_samples_split,30.0
RF-51,n_estimators,125.0
RF-52,max_depth,2.0
RF-52,min_samples_split,30.0
RF-52,n_estimators,150.0
RF-53,max_depth,2.0
RF-53,min_samples_split,30.0
RF-53,n_estimators,200.0
RF-54,max_depth,2.0
RF-54,min_samples_split,30.0
RF-54,n_estimators,250.0
RF-55,max_depth,2.0
RF-55,min_samples_split,50.0
RF-55,n_estimators,10.0
RF-56,max_depth,2.0
RF-56,min_samples_split,50.0
RF-56,n_estimators,25.0
RF-57,max_depth,2.0
RF-57,min_samples_split,50.0
RF-57,n_estimators,50.0
RF-58,max_depth,2.0
RF-58,min_samples_split,50.0
RF-58,n_estimators,75.0
RF-59,max_depth,2.0
RF-59,min_samples_split,50.0
RF-59,n_estimators,100.0
RF-60,max_depth,2.0
RF-60,min_samples_split,50.0
RF-60,n_estimators,125.0
RF-61,max_depth,2.0
RF-61,min_samples_split,50.0
RF-61,n_estimators,150.0
RF-62,max_depth,2.0
RF-62,min_samples_split,50.0
RF-62,n_estimators,200.0
RF-63,max_depth,2.0
RF-63,min_samples_split,50.0
RF-63,n_estimators,250.0
RF-64,max_depth,4.0
RF-64,min_samples_split,2.0
RF-64,n_estimators,10.0
RF-65,max_depth,4.0
RF-65,min_samples_split,2.0
RF-65,n_estimators,25.0
RF-66,max_depth,4.0
RF-66,min_samples_split,2.0
RF-66,n_estimators,50.0
RF-67,max_depth,4.0
RF-67,min_samples_split,2.0
RF-67,n_estimators,75.0
RF-68,max_depth,4.0
RF-68,min_samples_split,2.0
RF-68,n_estimators,100.0
RF-69,max_depth,4.0
RF-69,min_samples_split,2.0
RF-69,n_estimators,125.0
RF-70,max_depth,4.0
RF-70,min_samples_split,2.0
RF-70,n_estimators,150.0
RF-71,max_depth,4.0
RF-71,min_samples_split,2.0
RF-71,n_estimators,200.0
RF-72,max_depth,4.0
RF-72,min_samples_split,2.0
RF-72,n_estimators,250.0
RF-73,max_depth,4.0
RF-73,min_samples_split,4.0
RF-73,n_estimators,10.0
RF-74,max_depth,4.0
RF-74,min_samples_split,4.0
RF-74,n_estimators,25.0
RF-75,max_depth,4.0
RF-75,min_samples_split,4.0
RF-75,n_estimators,50.0
RF-76,max_depth,4.0
RF-76,min_samples_split,4.0
RF-76,n_estimators,75.0
RF-77,max_depth,4.0
RF-77,min_samples_split,4.0
RF-77,n_estimators,100.0
RF-78,max_depth,4.0
RF-78,min_samples_split,4.0
RF-78,n_estimators,125.0
RF-79,max_depth,4.0
RF-79,min_samples_split,4.0
RF-79,n_estimators,150.0
RF-80,max_depth,4.0
RF-80,min_samples_split,4.0
RF-80,n_estimators,200.0
RF-81,max_depth,4.0
RF-81,min_samples_split,4.0
RF-81,n_estimators,250.0
RF-82,max_depth,4.0
RF-82,min_samples_split,8.0
RF-82,n_estimators,10.0
RF-83,max_depth,4.0
RF-83,min_samples_split,8.0
RF-83,n_estimators,25.0
RF-84,max_depth,4.0
RF-84,min_samples_split,8.0
RF-84,n_estimators,50.0
RF-85,max_depth,4.0
RF-85,min_samples_split,8.0
RF-85,n_estimators,75.0
RF-86,max_depth,4.0
RF-86,min_samples_split,8.0
RF-86,n_estimators,100.0
RF-87,max_depth,4.0
